track_name,track_id,artist_name,artist_id,album_name,popularity,duration_ms,explicit,artist_genres
Apocalypse,7McZS9J6h0SKoZBR6cfcFe,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,0,290616,False,['dream pop']
Fade Into You,1LzNfuep1bnAUR9skqdHCK,Mazzy Star,37w38cCSGgKLdayTRjna4W,So Tonight That I Might See,85,295600,False,"['dream pop', 'shoegaze', 'slowcore']"
Stick,3kxKzo6rE1TtPeS3PzsM2w,Ovlov,2Iy7tZpp5qQudlg5cbcgH8,Stick,0,202528,False,"['shoegaze', 'indie punk', 'slowcore', 'noise rock']"
When The Sun Hits,7wE4l1GNxjE2kOmlsx0PcA,Slowdive,72X6FHxaShda0XeQw3vbeF,Souvlaki,0,287466,False,"['shoegaze', 'dream pop', 'slowcore']"
I'll Do It Again,1SDKfHhfBUBciO2AUwuvgI,"The Macrobats, Madde",3HV2XYlEjYYuLM73CZCNpY,I'll Do It Again,13,193034,False,"['dream pop', 'shoegaze']"
Dark Spring,6PGrkeJpDpgiFLvgKYD489,Beach House,56ZTgzPBDge0OvCGgMO3OY,7,0,204373,False,['dream pop']
Boyfriend,6zJ8TiWgwoxxlQnZgCH7hS,The Bilinda Butchers,6TnZQyc6gSnomokLLI8mya,"Regret, Love, Guilt, Dreams",36,254653,False,"['dream pop', 'shoegaze']"
Kaleidoscope,17djDdG4A6RaonAObaffsH,Ringo Deathstarr,3sWLSYm3MFYosc4AZhwajg,Colour Trip,34,125330,False,"['shoegaze', 'dream pop', 'slowcore', 'noise rock']"
The One to Wait,3MPFzBWdqwaAeCSQpA7Ift,CCFX,28tPuyqMVd3L51JmH9RpGZ,CCFX EP,0,393226,False,[]
Dirt,73FmWCru7YZIfFSuGSuEKu,Suburban Living,3ZOX2dQRZEB6qADJd4emx2,Dirt,0,244500,False,"['shoegaze', 'dream pop']"
Down the Line,1KPDAA9zyJXcEDvFW5inYi,Beach Fossils,1bwUhKRmEkOZ1wuTnV9XjC,Somersault,0,158474,False,"['dream pop', 'surf rock', 'shoegaze']"
Homesick,1DCmcz9n9uGHLJofhITGwi,Jesu,1binm59tmJzoZLvLETVYBP,Every Day I Get Closer to the Light from Which I Came,23,358008,False,"['drone metal', 'shoegaze', 'post-rock', 'drone', 'sludge metal', 'slowcore', 'stoner metal']"
Love Songs on the Radio,3arsql2gOlBUnTaFpIjHqE,Mojave 3,4jSYHcSo85heWskYvAULio,Ask Me Tomorrow,0,348400,False,"['slowcore', 'dream pop', 'shoegaze']"
Runner,4GwT2PoXxURFAsbX1DOzjd,Young Prisms,62Xs9S1gahH6vGEJ24qdkK,In Between,0,273533,False,"['shoegaze', 'dream pop']"
Live in Dreams,7tXyHzeEfr3LLSSdm6rTY8,Wild Nothing,6NrkINd80slV25wkBu9mEB,Gemini,0,205862,False,"['dream pop', 'shoegaze', 'chillwave']"
Heaven's on Fire,6ijXqCGHU0YI5prMb4keGO,The Radio Dept.,0utS63XytOEVN1EtzWhJpG,Clinging to a Scheme,0,212133,False,"['dream pop', 'shoegaze']"
Adult Diversion,3F395GaOXCVNDozy5WpK4j,Alvvays,3kzwYV3OCB010YfXMF0Avt,Alvvays,0,207640,False,"['dream pop', 'shoegaze', 'jangle pop', 'indie']"
Headache,4EDj8GXOlI45vG4SOfswK3,Grouper,31uyAcnY0kjjKKIQZMKX4i,Paradise Valley,44,304460,False,"['drone', 'slowcore', 'ambient', 'dream pop']"
In My Head,2nr9WZdKntw9a5muEC3gOk,Bedroom,7COP1HCvVq1cIpZcLQYoNe,In My Head,0,354663,False,[]
Misread,7tQBd6ZxIvhNRcWNtQ8qUT,Fazerdaze,2awB7Ol181cocZcLLNBBAh,Morningside,0,150894,False,"['dream pop', 'shoegaze']"
We’re Not Done (End Title),58jGSwikO2NbCICODjZnrG,Mogwai,34UhPkLbtFKRq3nmfFgejG,We’re Not Done (End Title),0,254706,False,"['post-rock', 'shoegaze']"
Chinatown,0UQc1EkgxdIB3nGVTuAXKI,Wild Nothing,6NrkINd80slV25wkBu9mEB,Gemini,0,198842,False,"['dream pop', 'shoegaze', 'chillwave']"
Pepsi/Coke Suicide,1z0DXbixgwEiXUZUCKVYsP,Elvis Depressedly,5a31Ij1sTxY9LUYVwgBp8m,Holo Pleasures / California Dreamin',0,153095,False,"['lo-fi indie', 'midwest emo']"
